"addresses__address1","addresses__address2","addresses__city","addresses__state","addresses__postalCode","addresses__coordinates__lat","addresses__coordinates__lng","attribution"
"308 Woodleaf Court","","Glen Burnie","MD","21061","39.1425931","-76.6238441","City of Bakersfield (CA)"
"8502 Madrone Avenue","","Louisville","KY","40258","38.1286407","-85.8678042","City of Carson (CA)"
"23 Sable Run Lane","","Methuen","MA","01844","42.759847","-71.157721","City of Cupertino (CA)"
"716 Waller Road","","Brentwood","TN","37027","35.998892","-86.696529","City of Hayward and Fairview. Licensed for Public Use (CA)"
"416 McIver Street","","Nashville","TN","37211","36.10436","-86.74411599999999","City of Mountain View (CA)"
"1508 Massachusetts Avenue Southeast","","Washington","DC","20003","38.887255","-76.98318499999999","City of Orange (CA)"
"5615 West Villa Maria Drive","","Glendale","AZ","85308","33.650988","-112.180624","Contra Costa County (CA)"
"3162 Martin Luther King Junior Boulevard","#2","Fayetteville","AR","72704","36.05233310000001","-94.2056987","El Dorando County (CA)"
"5306 Ritchie Highway","","Baltimore","MD","21225","39.221978","-76.614183","Fresno County (CA)"
"109 Summit Street","","Burlington","VT","05401","44.4729749","-73.2026566","Humboldt County (CA)"
"816 West 19th Avenue","","Anchorage","AK","99503","61.203221","-149.898655","Kern County (CA)"
"172 Alburg Springs Road","","Alburgh","VT","05440","44.995827","-73.2201539","Kings County (CA)"
"159 Downey Drive","A","Manchester","CT","06040","41.7800126","-72.5754309","Lake County (CA)"
"125 John Street","","Santa Cruz","CA","95060","36.950901","-122.046881","Lassen County (CA)"
"1101 Lotus Avenue","","Glen Burnie","MD","21061","39.191982","-76.6525659","Los Angeles County (CA)"
"8376 Albacore Drive","","Pasadena","MD","21122","39.110409","-76.46565799999999","Madera County (CA)"
"491 Arabian Way","","Grand Junction","CO","81504","39.07548999999999","-108.474785","Marin County (CA)"
"12245 West 71st Place","","Arvada","CO","80004","39.8267078","-105.1366798","Merced County (CA)"
"80 North East Street","#4","Holyoke","MA","01040","42.2041219","-72.5977704","Mono County (CA)"
"4695 East Huntsville Road","","Fayetteville","AR","72701","36.0471975","-94.0946286","Monterey County (CA)"
"310 Timrod Road","","Manchester","CT","06040","41.756758","-72.493501","Napa County (CA)"
"1364 Capri Drive","","Panama City","FL","32405","30.2207276","-85.6808795","County of Nevada, California (CA)"
"132 Laurel Green Court","","Savannah","GA","31419","32.0243075","-81.2468102","Orange County (CA)"
"6657 West Rose Garden Lane","","Glendale","AZ","85308","33.676018","-112.201658","City of Palo Alto (CA)"
"519 West 75th Avenue","#APT 000003","Anchorage","AK","99518","61.15288690000001","-149.889133","County of Placer (CA)"
"31353 Santa Elena Way","","Union City","CA","94587","37.593981","-122.059762","Secramento County (CA)"
"8398 West Denton Lane","","Glendale","AZ","85305","33.515353","-112.240812","San Bernardino County (CA)"
"700 Winston Place","","Anchorage","AK","99504","61.215882","-149.737337","San Diego Geographic Information Source - JPA (CA)"
"232 Maine Avenue","","Panama City","FL","32401","30.1527033","-85.63207129999999","San Joaquin County (CA)"
"1 Kempf Drive","","Easton","MA","02375","42.0505989","-71.08029379999999","San Luis Obispo County (CA)"
"5811 Crossings Boulevard","","Nashville","TN","37013","36.0370847","-86.6413728","San Mateo County (CA)"
"5108 Franklin Street","","Savannah","GA","31405","32.034987","-81.121928","Santa Barbara County (CA)"
"913 Fallview Trail","","Nashville","TN","37211","36.02419100000001","-86.718305","Santa Clara County (CA)"
"270 Chrissy's Court","","","VT","05443","44.1710043","-73.1065617","Santa Cruz County (CA)"
"130 Old Route 103","","Chester","VT","05143","43.224335","-72.54227399999999","Shasta County (CA)"
"10826 Pointe Royal Drive","","Bakersfield","CA","93311","35.2930007","-119.1225908","Solano County (CA)"
"74 Ranch Drive","","Montgomery","AL","36109","32.383322","-86.235124","Sonoma County (CA)"
"6601 West Ocotillo Road","","Glendale","AZ","85301","33.53433","-112.2011246","Stanislaus County (CA)"
"19416 Barclay Road","","Castro Valley","CA","94546","37.70382","-122.091054","Tuolumne County (CA)"
"1347 Blackwalnut Court","","Annapolis","MD","21403","38.936881","-76.475823","Yolo County (CA)"
"1770 Colony Way","","Fayetteville","AR","72704","36.0867","-94.229754","Yuba County (CA)"
"165 Saint John Street","","Manchester","CT","06040","41.7762171","-72.5410548","Arapahoe County (CO)"
"2409 Research Boulevard","","Fort Collins","CO","80526","40.554586","-105.087852","Archuleta County (CO)"
"1903 Bashford Manor Lane","","Louisville","KY","40218","38.1977059","-85.675288","City of Arvada (CO)"
"8315 Surf Drive","","Panama City Beach","FL","32408","30.163458","-85.785449","City of Aurora (CO)"
"3301 Old Muldoon Road","","Anchorage","AK","99504","61.1908348","-149.7340096","City of Boulder (CO)"
"8800 Cordell Circle","#APT 000003","Anchorage","AK","99502","61.1409305","-149.9437822","City of Fort Collins (CO)"
"117 East Cook Avenue","","Anchorage","AK","99501","61.230336","-149.883795","City of Greeley (CO)"
"6231 North 67th Avenue","#241","Glendale","AZ","85301","33.5279666","-112.2022551","City of Loveland (CO)"
"8505 Waters Avenue","#66","Savannah","GA","31406","31.9901877","-81.1070672","City of Westminster (CO)"
"7 Underwood Place Northwest","","Washington","DC","20012","38.969351","-77.009722","Gilpin County (CO)"
"21950 Arnold Center Road","","Carson","CA","90810","33.8272706","-118.2302826","Gunnison County (CO)"
"1427 South Carolina Avenue Southeast","","Washington","DC","20003","38.886615","-76.9845349","Jefferson County (CO)"
"1420 Turtleback Trail","","Panama City","FL","32413","30.281084","-85.9677169","Larimer County (CO)"
"6990 Pierson Street","","Arvada","CO","80004","39.824425","-105.122103","Mesa County (CO)"
"376 North Williams Drive","","Fayetteville","AR","72701","36.067997","-94.142563","Pitkin County (CO)"
"3617 Menlo Court","","Montgomery","AL","36116","32.307397","-86.26001099999999","Pubelo County (CO)"
"711 Parker Street","","East Longmeadow","MA","01028","42.082262","-72.488113","San Miguel County (CO)"
"8521 Crystal Street","","Anchorage","AK","99502","61.143426","-149.94665","City of Honolulu (HI)"
"1622 Edgar D Nixon Avenue","","Montgomery","AL","36104","32.356384","-86.3128909",""
"1608 Gales Street Northeast","","Washington","DC","20002","38.8985542","-76.9813444",""
"122 East Hayes Street","","Norman","OK","73069","35.232121","-97.445053",""
"5144 Cattail Court","","Fayetteville","AR","72701","36.041153","-94.087419",""
"131 Kent Drive","","Manchester","CT","06042","41.803084","-72.492786",""
"2313 Vegas Avenue","","Castro Valley","CA","94546","37.689189","-122.076775",""
"5420 Sunset Avenue","","Panama City Beach","FL","32408","30.145603","-85.755095",""
"242 North Ash Street","","Fruita","CO","81521","39.161544","-108.725378",""
"38676 Greenwich Circle","","Fremont","CA","94536","37.562256","-121.976451",""
"2426 East Onyx Trail","#6","Fayetteville","AR","72701","36.065707","-94.1276125",""
"110 Seaton Place Northwest","","Washington","DC","20001","38.9146701","-77.01264680000001",""
"5385 Iris Street","","Arvada","CO","80002","39.794498","-105.106056",""
"5628 West Tonopah Drive","","Glendale","AZ","85308","33.6710947","-112.1810955",""
"65 Bay Drive","","Annapolis","MD","21403","38.937493","-76.45638699999999",""
"7401 North 61st Drive","","Glendale","AZ","85301","33.5450005","-112.191417",""
"8 Watkins Road","","","VT","05468","44.6028809","-73.17689299999999",""
"2209 June Drive","","Nashville","TN","37214","36.16848","-86.695241",""
"1840 Nobel Place","","Louisville","KY","40216","38.198892","-85.8090129",""
"2622 Martin Luther King Junior Boulevard","","Fayetteville","AR","72704","36.053922","-94.1973008",""
"4 Glen Circle","","Glen Burnie","MD","21060","39.157751","-76.60633399999999",""
"7529 West 72nd Avenue","#4","Arvada","CO","80003","39.8276128","-105.0799305",""
"10996 Largo Drive","","Savannah","GA","31419","31.99178","-81.14366799999999",""
"2027 North Shannon Drive","#5","Fayetteville","AR","72703","36.0892622","-94.17333020000001",""
"154 Boca Lagoon Drive","","Panama City Beach","FL","32408","30.171012","-85.77501099999999",""
"3311 Wiley Post Loop","","Anchorage","AK","99517","61.18686499999999","-149.946288",""
"5055 West 58th Avenue","","Arvada","CO","80002","39.8024171","-105.0505121",""
"3228 Chettenham Drive","","Rancho Cordova","CA","95670","38.577813","-121.301333",""
"1901 North Midwest Boulevard","","Edmond","OK","73034","35.67413","-97.39058399999999",""
"1536 North Main Street","","Salinas","CA","93906","36.7122208","-121.6522485",""
"33 Linscott Road","","Hingham","MA","02043","42.2257391","-70.8828675",""
"1732 27th Avenue","","Oakland","CA","94601","37.783431","-122.228238",""
"22 Gallatin Street Northeast","","Washington","DC","20011","38.9526368","-77.0080993",""
"8125 Glynnwood Drive","","Montgomery","AL","36117","32.341844","-86.14093",""
"2139 Glynnwood Drive","","Savannah","GA","31404","32.021538","-81.06860999999999",""
"14 School Street","","Medway","MA","02053","42.141711","-71.395014",""
"264 Crest Drive","","Soldotna","AK","99669","60.497608","-151.080848",""
"307 Joel Street","","Pooler","GA","31322","32.123265","-81.24991",""
"188 River Road","","Essex","VT","05452","44.478846","-73.058294",""
"1643 Oxford Street","R C","Berkeley","CA","94709","37.877894","-122.266436",""
"5545 Saddlewood Lane","","Brentwood","TN","37027","36.026888","-86.7576629",""
"26466 Mockingbird Lane","","Hayward","CA","94544","37.6410262","-122.0864272",""
"4840 Reservoir Road Northwest","","Washington","DC","20007","38.9158933","-77.0962873",""
"599 Cambridge Street","#303","Cambridge","MA","02141","42.3720518","-71.08610949999999",""
"584 Rural Hill Road","","Nashville","TN","37217","36.089291","-86.621854",""
"10262 West 59th Avenue","#1","Arvada","CO","80004","39.803718","-105.111974",""
"945 South 5th Street","#1020","Louisville","KY","40203","38.2402351","-85.76031119999999",""
"2543 The Meadows","","Montgomery","AL","36116","32.3463001","-86.2185382",""
"153 Atlantic Avenue","#6","Salisbury","MA","01952","42.8339101","-70.81575269999999",""
"9 Brooklyn Street","","","VT","05488","44.924599","-73.12809399999999",""
"5722 8th Street Northwest","","Washington","DC","20011","38.959305","-77.024463",""
"8700 Seaton Boulevard","","Montgomery","AL","36116","32.3378676","-86.1731595",""
"1004 Bellflower Street","","Livermore","CA","94551","37.710745","-121.732765",""
"4738 Mallard Common","","Fremont","CA","94555","37.5666441","-122.0444344",""
"875 Latouche Street","#APT 001010","Anchorage","AK","99501","61.2132529","-149.8608243",""
"4940 Fuller Road","","Montgomery","AL","36110","32.42936","-86.21683519999999",""
"5754 Belleau Drive","","Montgomery","AL","36117","32.394398","-86.203138",""
"1403 Lincoln Street","","Savannah","GA","31401","32.0613716","-81.09482249999999",""
"140 South Hill Avenue","#305","Fayetteville","AR","72701","36.0618737","-94.16920189999999",""
"642 South 2nd Street","#608","Louisville","KY","40202","38.2472593","-85.7549195",""
"6473 Zephyr Street","","Arvada","CO","80004","39.814341","-105.085116",""
"4250 North Valley Lake Drive","#8","Fayetteville","AR","72703","36.1279064","-94.12180719999999",""
"565 North Lakeshore Drive","","Panama City Beach","FL","32413","30.246868","-85.918511",""
"5514 West Wedington Drive","#3","Fayetteville","AR","72704","36.079411","-94.240031",""
"1909 Wainwright Avenue","","Panama City","FL","32405","30.183868","-85.722174",""
"4525 West Frier Drive","","Glendale","AZ","85301","33.5488732","-112.1565998",""
"201 West Montgomery Cross Road","#170","Savannah","GA","31406","31.9996137","-81.13121",""
"915 Heath Drive","","Montgomery","AL","36108","32.363883","-86.333247",""
"95 Briarwood Drive","","Manchester","CT","06040","41.745751","-72.542544",""
"69 Washington Street","","Manchester","CT","06042","41.78712489999999","-72.52083069999999",""
"2900 North Western Avenue","","Edmond","OK","73012","35.687568","-97.53227299999999",""
"7841 West Kristal Way","","Glendale","AZ","85308","33.658804","-112.228834",""
"361 Parmley Lane","","Nashville","TN","37207","36.2446128","-86.8197718",""
"6120 Southeast 84th Street","","Oklahoma City","OK","73135","35.380836","-97.41582",""
"9428 North 65th Drive","","Glendale","AZ","85302","33.571222","-112.20045",""
"11 Meeting Place Circle","","Boxford","MA","01921","42.6946519","-71.0008529",""
"4438 Maine Avenue","","Baldwin Park","CA","91706","34.093409","-117.959953",""
"65 Jones Lane","","Montevallo","AL","35115","33.096851","-86.846577",""
"3140 Commander Drive","","Louisville","KY","40220","38.215781","-85.653981",""
"107 Guaymas Place","","Davis","CA","95616","38.567048","-121.746046",""
"6114 West Glenn Drive","#1","Glendale","AZ","85301","33.5401454","-112.1912722",""
"622 Thomas Street","","Woodland","CA","95776","38.672731","-121.76065",""
"127 Grand Heron Drive","","Panama City","FL","32407","30.189702","-85.80841099999999",""
"3504 East 16th Avenue","","Anchorage","AK","99508","61.2058945","-149.8158624",""
"1230 Stafford Drive","","Montgomery","AL","36117","32.32403","-86.14840099999999",""
"6007 Yarrow Street","H","Arvada","CO","80004","39.806211","-105.084446",""
"632 Belmar Drive","","Edmond","OK","73025","35.7016024","-97.4912627",""
"1515 Chandlee Avenue","","Panama City","FL","32405","30.176365","-85.666253",""
"10632 Admiral Court","","Oklahoma City","OK","73162","35.57886200000001","-97.6270728",""
"11655 West 81st Avenue","","Arvada","CO","80005","39.84356820000001","-105.1297584",""
"3500 Blanchard Drive Southwest","","Washington","DC","20032","38.8388931","-77.02011139999999",""
"2755 Country Drive","#244","Fremont","CA","94536","37.557882","-121.986823",""
"1850 Berryhill Place","","Montgomery","AL","36117","32.3527548","-86.16858669999999",""
"58 North U.S.A Drive","","Fayetteville","AR","72701","35.994914","-94.185867",""
"8785 Ellis Court","","Arvada","CO","80005","39.853725","-105.158861",""
"1636 Briarview Court","","Severn","MD","21144","39.12539599999999","-76.704015",""
"12 Knox Street","","Manchester","CT","06040","41.774166","-72.527697",""
"425 Middle Turnpike East","","Manchester","CT","06040","41.7847772","-72.50354829999999",""
"2017 North Hartford Drive","","Fayetteville","AR","72701","36.08820499999999","-94.1074905",""
"5900 Upland Road","","Brooklyn Park","MD","21225","39.213888","-76.61925099999999",""
"9331 Edison Road","","Lithia","FL","33547","27.86851","-82.07391199999999",""
"1810 Orchard Place","","Anchorage","AK","99502","61.145912","-149.9134259",""
"145 Grau Drive","","Fremont","CA","94536","37.582453","-121.994476",""
"3959 Fairlands Drive","","Pleasanton","CA","94588","37.6992001","-121.8703701",""
"3613 East 18th Avenue","","Anchorage","AK","99508","61.20485339999999","-149.8135521",""
"1275 South Holland Drive","","Fayetteville","AR","72704","36.051782","-94.226855",""
"109 Cambridge Station Road","","Louisville","KY","40223","38.244527","-85.56912799999999",""
"2107 Elfen Glen","Apt B","Van Buren","AR","72956","35.469752","-94.364987",""
"8522 Ingalls Circle","","Arvada","CO","80003","39.8528593","-105.0629778",""
"1809 Cedar Drive","","Severn","MD","21144","39.139311","-76.72028999999999",""
"1376 Oakland Avenue","#1","Fayetteville","AR","72703","36.080981","-94.172549",""
"4306 Bylsma Circle","","Panama City","FL","32404","30.223294","-85.589715",""
"233 Buckland Hills Drive","","Manchester","CT","06042","41.8100683","-72.5453665",""
"7701 Southwest 104th Street","","Oklahoma City","OK","73169","35.3641983","-97.6475346",""
"14003 Crossbranch Court","","Louisville","KY","40245","38.242033","-85.489885",""
"19590 East Batavia Drive","","Aurora","CO","80011","39.7420886","-104.7581149",""
"6424 Simms Street","#71","Arvada","CO","80004","39.8133443","-105.1283237",""
"718 Dutchmans Court","","Nashville","TN","37076","36.2048851","-86.5994752",""
"8496 Isles Court","","Pasadena","MD","21122","39.111297","-76.467049",""
"100 East Joyce Boulevard","#110","Fayetteville","AR","72703","36.1253411","-94.1551631",""
"9036 Calico Court","","Hesperia","CA","92344","34.414491","-117.375403",""
"2723 East Joyce Boulevard","","Fayetteville","AR","72703","36.119414","-94.12229500000001",""
"90 Via Verde","","San Lorenzo","CA","94580","37.67869","-122.117142",""
"1015 Castle Road","","Edmond","OK","73034","35.665019","-97.466045",""
"2787 West Blackstone Crossing","","Fayetteville","AR","72704","36.0608984","-94.1993461",""
"3555 Alamosa Drive","","Anchorage","AK","99502","61.142316","-149.9454749",""
"6231 North 59th Avenue","#35","Glendale","AZ","85301","33.5285304","-112.1860744",""
"311 South Panama Street","","Montgomery","AL","36107","32.376833","-86.27416099999999",""
"3313 Daisy Trail","","Nashville","TN","37013","36.076186","-86.60113799999999",""
"5436 Dorbrandt Street","#APT 000002","Anchorage","AK","99518","61.17090200000001","-149.904782",""
"553 South Arlington Road","","Orange","CA","92869","33.7794839","-117.820383",""
"615 Q Street Northwest","","Washington","DC","20001","38.9113118","-77.0206808",""
"457 Mountain Village Boulevard","#320-3","Mountain Village","CO","81435","37.93323040000001","-107.8515732",""
"144 Lauderdale Street","","Montgomery","AL","36116","32.309978","-86.259716",""
"2 Ambelwood Way","","Savannah","GA","31411","31.9138389","-81.07297989999999",""
"4113 Holiday Drive","","Panama City","FL","32408","30.1548681","-85.7709976",""
"2001 Van Hoose Drive","","Fayetteville","AR","72701","36.039421","-94.065534",""
"9457 Winfield Place","","Montgomery","AL","36117","32.341347","-86.14867799999999",""
"1120 Mitchell Young Road","","Montgomery","AL","36108","32.327464","-86.44011599999999",""
"12816 West 65th Way","","Arvada","CO","80004","39.8141779","-105.1426275",""
"10 Erick Road","#47","Mansfield","MA","02048","42.032505","-71.17718599999999",""
"481 East Redbud Lane","","Fayetteville","AR","72703","36.103899","-94.151128",""
"320 Northwest 22nd Street","","Oklahoma City","OK","73103","35.491908","-97.51843099999999",""
"33 South Hill Avenue","#306","Fayetteville","AR","72701","36.0619602","-94.16977700000001",""
"355 Gillette Road","","Nashville","TN","37211","36.061143","-86.70823299999999",""
"151 Main Street","","Savannah","GA","31408","32.113199","-81.148934",""
"545 Tracey Drive","","Panama City","FL","32404","30.1354251","-85.5573034",""
"3 Southerberry Drive","","","VT","05468","44.62322460000001","-73.1326629",""
"736 Sicard Street Southeast","","Washington","DC","20003","38.8729038","-76.9949528",""
"6214 Herzog Street","","Oakland","CA","94608","37.84557849999999","-122.2825201",""
"1160 North College Avenue","#2","Fayetteville","AR","72703","36.0785477","-94.1566273",""
"5843 West McLellan Road","","Glendale","AZ","85301","33.5330898","-112.1857087",""
"1452 55th Avenue","B","Oakland","CA","94621","37.767671","-122.202326",""
"4255 Tanager Common","","Fremont","CA","94555","37.5738888","-122.0460256",""
"13426 West Rovey Avenue","","Litchfield Park","AZ","85340","33.522973","-112.34802",""
"195 Nursery Street","#D10","Springfield","MA","01104","42.1178409","-72.5892289",""
"126 Marjorie Lane","C","Manchester","CT","06042","41.8073257","-72.5188292",""
"22 Charnock Street","#2","Beverly","MA","01915","42.55227","-70.876549",""
"817 25th Street Northwest","","Washington","DC","20037","38.900077","-77.053066",""
"2552 Massachusetts Avenue Northwest","","Washington","DC","20008","38.9165459","-77.057323",""
"1711 Lore Road","#APT 000106","Anchorage","AK","99507","61.15195259999999","-149.8511487",""
"19091 Northeast 23rd Street","","Harrah","OK","73045","35.493447","-97.193078",""
"8318 North 57th Drive","","Glendale","AZ","85302","33.557537","-112.183238",""
"7256 West 84th Way","#918","Arvada","CO","80003","39.8506912","-105.0767393",""
"706 Seagrove Road","","Glen Burnie","MD","21060","39.163384","-76.609205",""
"2318 Camryns Crossing","","Panama City","FL","32405","30.221926","-85.62420000000002",""
"968 Virginia Avenue","","Olivehurst","CA","95961","39.1022419","-121.581218",""
"416 South University Boulevard","","Norman","OK","73069","35.215351","-97.446319",""
"137 Gazebo East Drive","","Montgomery","AL","36117","32.3793507","-86.20407399999999",""
"10723 Colonial Woods Court","","Louisville","KY","40223","38.2496439","-85.55717709999999",""
"119 Matthew Lane","","Nashville","TN","37215","36.11663619999999","-86.80955829999999",""
"3142 West Finger Road","","Fayetteville","AR","72701","36.042837","-94.205309",""
"4 Elm Street","","Windsor","VT","05089","43.476997","-72.398925",""
"78 School Street","","Woburn","MA","01801","42.506877","-71.15299",""
"19020 North 68th Avenue","","Glendale","AZ","85308","33.6574037","-112.2062039",""
"2849 Quail Drive","","Fayetteville","AR","72704","36.095294","-94.20036300000001",""
"2456 22nd Avenue","","Greeley","CO","80631","40.397153","-104.713982",""
"200 Boulder Road","","Manchester","CT","06040","41.7792079","-72.494963",""
"11150 Sun Valley Drive","","Oakland","CA","94605","37.752039","-122.11822",""
"505 Southeast 32nd Street","","Oklahoma City","OK","73129","35.4325058","-97.5032743",""
"1025 West 19th Street","#UNIT 1-C","Panama City","FL","32405","30.18252889999999","-85.676771",""
"6725 Pamela Court","","Montgomery","AL","36116","32.334546","-86.20349999999999",""
"4714 Narrow Lane Road","","Montgomery","AL","36116","32.3140725","-86.2819674",""
"11 Proctor Circle","","Peabody","MA","01960","42.535503","-70.953384",""
"10508 Kovats Court","","Louisville","KY","40223","38.2330381","-85.5695464",""
"3179 18th Street Northwest","","Washington","DC","20010","38.9312712","-77.0412983",""
"3194 Bladensburg Road Northeast","","Washington","DC","20018","38.930136","-76.95929799999999",""
"260 Rio Del Mar Boulevard","##14","Aptos","CA","95003","36.967915","-121.902513",""
"1040 West 27th Avenue","#APT 000401","Anchorage","AK","99503","61.195892","-149.901984",""
"42 Lake Lane","","Westmore","VT","05860","44.77954099999999","-72.0682889",""
"3718 Bay Tree Road","","Lynn Haven","FL","32444","30.205726","-85.63441999999999",""
"3408 Bellisima Place","#204","Louisville","KY","40245","38.2857023","-85.5023064",""
"4109 General Bate Drive","","Nashville","TN","37204","36.099427","-86.787756",""
"5329 A Street","","Greeley","CO","80634","40.4347001","-104.7702805",""
"88 Shute Street","#1","Everett","MA","02149","42.4192568","-71.0469179",""
"480 Keene Road","","Walden","VT","05836","44.4879516","-72.2823264",""
"4 Cutting Avenue","","Worcester","MA","01606","42.307664","-71.79180099999999",""
"275 South 40th Street","","Boulder","CO","80305","39.988864","-105.247011",""
"1189 Northwest End Avenue","#D3","Fayetteville","AR","72703","36.0793885","-94.19657190000001",""
"25 Cliffside Drive","D","Manchester","CT","06042","41.79505229999999","-72.48762169999999",""
"2515 60th Avenue","","Oakland","CA","94605","37.7705346","-122.1907449",""
"2057 Lucas Street","","Montgomery","AL","36107","32.3934472","-86.2766814",""
"386 Daniels Road","","New Haven","VT","05472","44.114323","-73.1911159",""
"9805 Meadow Vale Drive","","Louisville","KY","40242","38.281955","-85.57182100000001",""
"8 Village Circle","","Randolph","VT","05060","43.927687","-72.65563",""
"1011 San Jose Street","","San Leandro","CA","94577","37.72956300000001","-122.147074",""
"2505 Walker Lane","","Nashville","TN","37207","36.2125119","-86.806625",""
"11225 West 79th Drive","","Arvada","CO","80005","39.840784","-105.124533",""
"1907 18th Avenue South","","Nashville","TN","37212","36.134703","-86.79737700000001",""
"16 Conway Street","","Shelburne Falls","MA","01370","42.6022637","-72.74100059999999",""
"20375 Wisteria Street","","Castro Valley","CA","94546","37.696683","-122.085865",""
"6408 Fern Crest Road","","Louisville","KY","40291","38.154488","-85.612144",""
"175 Creek Road","","Castleton","VT","05735","43.6055996","-73.2336737",""
"2531 Prestwick Avenue","","Concord","CA","94519","37.9966039","-122.0280747",""
"1002 Highland Avenue","","Louisville","KY","40204","38.2371577","-85.7367362",""
"2927 Leatherwood Drive","","Nashville","TN","37214","36.156413","-86.65534099999999",""
"8467 Chase Drive","","Arvada","CO","80003","39.851766","-105.071498",""
